city,state_id,state_name,county_name,lat,lng,population,density,zips
Danielsville,GA,Georgia,Madison,34.1238,-83.2202,953,254.5,30633
Hulmeville,PA,Pennsylvania,Bucks,40.1421,-74.9075,953,769.2,19047
Greenview,IL,Illinois,Menard,40.0849,-89.7406,953,428.3,62642
Palo Alto,PA,Pennsylvania,Schuylkill,40.6861,-76.1699,953,352.3,17901
Riner,VA,Virginia,Montgomery,37.0676,-80.4405,953,252.3,24149
Goochland,VA,Virginia,Goochland,37.6974,-77.8943,953,81.6,23063 23014
Grand Meadow,MN,Minnesota,Mower,43.7062,-92.5701,953,539.2,55936
Westphalia,MI,Michigan,Clinton,42.9303,-84.7981,952,330,48894
Hymera,IN,Indiana,Sullivan,39.1859,-87.2989,952,516.1,47855
Estelline,SD,South Dakota,Hamlin,44.5768,-96.9011,952,388.8,57234
Ostrander,OH,Ohio,Delaware,40.269,-83.2075,952,392,43061
